"matrix_taxon","vto","vto_label"
"Notropis welaka","http://purl.obolibrary.org/obo/VTO_0039314","Pteronotropis welaka"
"Pteronotropis welaka","http://purl.obolibrary.org/obo/VTO_0039314","Pteronotropis welaka"
"Notropis hubbsi","http://purl.obolibrary.org/obo/VTO_0039315","Pteronotropis hubbsi"
"Notropis hypselopterus","http://purl.obolibrary.org/obo/VTO_0039316","Pteronotropis hypselopterus"
"Pteronotropis hypselopterus","http://purl.obolibrary.org/obo/VTO_0039316","Pteronotropis hypselopterus"
"Osteocheilus hasseltii","http://purl.obolibrary.org/obo/VTO_0039384","Osteochilus hasseltii"
"Hampala macrolepidota","http://purl.obolibrary.org/obo/VTO_0039388","Hampala macrolepidota"
"Mystacoleucus marginatus","http://purl.obolibrary.org/obo/VTO_0039418","Mystacoleucus marginatus"
"Yuriria alta","http://purl.obolibrary.org/obo/VTO_0039511","Yuriria alta"
"Labeo niloticus","http://purl.obolibrary.org/obo/VTO_0039567","Labeo senegalensis"
"Plagopterus argentissimus","http://purl.obolibrary.org/obo/VTO_0039616","Plagopterus argentissimus"
"Moapa coriacea","http://purl.obolibrary.org/obo/VTO_0039625","Moapa coriacea"
"Elopichthys bambusa","http://purl.obolibrary.org/obo/VTO_0039640","Elopichthys bambusa"
"Cirrhinus chinensis","http://purl.obolibrary.org/obo/VTO_0039648","Cirrhinus molitorella"
"Hypophthalmichthys molitrix","http://purl.obolibrary.org/obo/VTO_0039762","Hypophthalmichthys molitrix"
"Danio dangila","http://purl.obolibrary.org/obo/VTO_0039829","Danio dangila"
"Danio nigrofasciatus","http://purl.obolibrary.org/obo/VTO_0039832","Danio nigrofasciatus"
"Rhinogobio typus","http://purl.obolibrary.org/obo/VTO_0039843","Rhinogobio typus"
"Aphyocypris chinensis","http://purl.obolibrary.org/obo/VTO_0039889","Aphyocypris chinensis"
"Sawbwa resplendens","http://purl.obolibrary.org/obo/VTO_0039902","Sawbwa resplendens"
"Aztecula sallei","http://purl.obolibrary.org/obo/VTO_0039952","Aztecula sallaei"
"Tribolodon","http://purl.obolibrary.org/obo/VTO_0039955","Tribolodon"
"Tribolodon hakuensis","http://purl.obolibrary.org/obo/VTO_0039956","Tribolodon hakonensis"
"Tribolodon hakonensis","http://purl.obolibrary.org/obo/VTO_0039956","Tribolodon hakonensis"
"Ischikauia steenackeri","http://purl.obolibrary.org/obo/VTO_0040063","Ischikauia steenackeri"
"Cyprinella","http://purl.obolibrary.org/obo/VTO_0040252","Cyprinella"
"Notropis spilopterus","http://purl.obolibrary.org/obo/VTO_0040253","Cyprinella spiloptera"
"Cyprinella spiloptera","http://purl.obolibrary.org/obo/VTO_0040253","Cyprinella spiloptera"
"Notropis texanus","http://purl.obolibrary.org/obo/VTO_0040343","Notropis texanus"
"Notropis telescopus","http://purl.obolibrary.org/obo/VTO_0040346","Notropis telescopus"
"Notropis scepticus","http://purl.obolibrary.org/obo/VTO_0040347","Notropis scepticus"
"Notropis stilbius","http://purl.obolibrary.org/obo/VTO_0040348","Notropis stilbius"
"Notropis calientis","http://purl.obolibrary.org/obo/VTO_0040359","Notropis calientis"
"Hybopsis calientis","http://purl.obolibrary.org/obo/VTO_0040359","Notropis calientis"
"Notropis imeldae","http://purl.obolibrary.org/obo/VTO_0040361","Notropis imeldae"
"Notropis mekistocholas","http://purl.obolibrary.org/obo/VTO_0040364","Notropis mekistocholas"
"Notropis oxyrhynchus","http://purl.obolibrary.org/obo/VTO_0040365","Notropis oxyrhynchus"
"Netuma planifrons","http://purl.obolibrary.org/obo/VTO_0035734","Genidens planifrons"
"Arius utarus","http://purl.obolibrary.org/obo/VTO_0035738","Neoarius utarus"
"Ariopsis utarus","http://purl.obolibrary.org/obo/VTO_0035738","Neoarius utarus"
"Arius graeffei","http://purl.obolibrary.org/obo/VTO_0035742","Neoarius graeffei"
"Arius australis","http://purl.obolibrary.org/obo/VTO_0035742","Neoarius graeffei"
"Ariopsis graeffei","http://purl.obolibrary.org/obo/VTO_0035742","Neoarius graeffei"
"Arius curtisii","http://purl.obolibrary.org/obo/VTO_0035742","Neoarius graeffei"
"Arius leptaspis","http://purl.obolibrary.org/obo/VTO_0035743","Neoarius leptaspis"
"Ariopsis leptaspis","http://purl.obolibrary.org/obo/VTO_0035743","Neoarius leptaspis"
"Hexanematichthys leptaspis","http://purl.obolibrary.org/obo/VTO_0035743","Neoarius leptaspis"
"Ariopsis berneyi","http://purl.obolibrary.org/obo/VTO_0035744","Neoarius berneyi"
"Arius cleptolepis","http://purl.obolibrary.org/obo/VTO_0035744","Neoarius berneyi"
"Tachysurus (Pararius) berneyi","http://purl.obolibrary.org/obo/VTO_0035744","Neoarius berneyi"
"Arius midgleyi","http://purl.obolibrary.org/obo/VTO_0035745","Neoarius midgleyi"
"Ariopsis midgleyi","http://purl.obolibrary.org/obo/VTO_0035745","Neoarius midgleyi"
"Cochlefelis spatula","http://purl.obolibrary.org/obo/VTO_0035747","Cochlefelis spatula"
"Arius spatula","http://purl.obolibrary.org/obo/VTO_0035747","Cochlefelis spatula"
"Arius (Hemiarius) danielsi","http://purl.obolibrary.org/obo/VTO_0035748","Cochlefelis danielsi"
"Cochlefelis danielsi","http://purl.obolibrary.org/obo/VTO_0035748","Cochlefelis danielsi"
"Hemipimelodus cochlearis","http://purl.obolibrary.org/obo/VTO_0035750","Cryptarius truncatus"
"Cryptarius n.g. truncatus","http://purl.obolibrary.org/obo/VTO_0035750","Cryptarius truncatus"
"Arius truncatus","http://purl.obolibrary.org/obo/VTO_0035750","Cryptarius truncatus"
"Cinetodus crassilabris","http://purl.obolibrary.org/obo/VTO_0035754","Cinetodus crassilabris"
"Hemipimelodus crassilabris","http://purl.obolibrary.org/obo/VTO_0035754","Cinetodus crassilabris"
"Arius (Hemiarius) carinatus","http://purl.obolibrary.org/obo/VTO_0035755","Cinetodus carinatus"
"Cinetodus carinatus","http://purl.obolibrary.org/obo/VTO_0035755","Cinetodus carinatus"
"Cinetodus froggatti","http://purl.obolibrary.org/obo/VTO_0035756","Cinetodus froggatti"
"Arius froggatti","http://purl.obolibrary.org/obo/VTO_0035756","Cinetodus froggatti"
"Potamarius nelsoni","http://purl.obolibrary.org/obo/VTO_0035758","Potamarius nelsoni"
"Conorhynchos nelsoni","http://purl.obolibrary.org/obo/VTO_0035758","Potamarius nelsoni"
"Ketengus typus","http://purl.obolibrary.org/obo/VTO_0035763","Ketengus typus"
"Arius leiotetocephalus","http://purl.obolibrary.org/obo/VTO_0035775","Plicofollis nella"
"Plicofollis n.g. nella","http://purl.obolibrary.org/obo/VTO_0035775","Plicofollis nella"
"Pimelodus nella","http://purl.obolibrary.org/obo/VTO_0035775","Plicofollis nella"
"Arius hamiltonis","http://purl.obolibrary.org/obo/VTO_0035776","Plicofollis argyropleuron"
