vto_short,vto_label,tok1,tok2,uuid,family,genus,specificepithet,lat,lon,char_sesamoid_bone_of_manus,char_carpal_bone,char_metacarpal_bone,char_humerus,char_ulna,char_radius_bone,char_centrale_fore,char_ulnare,char_phalanx_of_manus,char_intermedium,char_radiale,char_pelvic_fin,char_pectoral_fin,char_pelvic_sucking_disc
VTO:0039111,Pimephales vigilax,pimephales,vigilax,0be2d075-f035-4a9e-b714-1af23be951bb,cyprinidae,pimephales,vigilax,29.4111103,-100.4516538,,,,,,,,,,,,1,1,?
VTO:0040540,Phenacobius mirabilis,phenacobius,mirabilis,0be34144-9d80-42cb-96eb-3969e9688f14,cyprinidae,phenacobius,mirabilis,37.9052778,-96.3894444,,,,,,,,,,,,1,1,?
VTO:0049110,Labridae,labridae,,0be350eb-ab68-482c-ba55-7cefeec5fc0a,labridae,halichoeres,argus,16.192965,120.047374,,,,,,,,,,,,0 and 1,1,0
VTO:0056950,Percopsis omiscomaycus,percopsis,omiscomaycus,0be3ba8c-5bd8-408c-96c7-6c54d19f40d2,percopsidae,percopsis,omiscomaycus,40.65,-81.4,,,,,,,,,,,,1,?,?
VTO:0007123,Duttaphrynus melanostictus,duttaphrynus,melanostictus,0be5f8c8-9809-4463-bceb-1bd63a7e15b3,bufonidae,duttaphrynus,melanostictus,27.7912722222,86.1811972222,?,?,?,?,?,?,?,?,1,?,?,,,
VTO:0041436,Erimyzon sucetta,erimyzon,sucetta,0be88129-ece1-425b-9602-4cd0c7129f0f,catostomidae,erimyzon,sucetta,30.773065,-84.769154,,,,,,,,,,,,1,?,?
VTO:0007309,Bufo bufo,bufo,bufo,0be96da6-4997-4433-8d54-13cf6e707148,bufonidae,bufo,bufo,39.98,-77.38,?,?,?,?,?,?,?,?,1,?,?,,,
VTO:0040360,Notropis volucellus,notropis,volucellus,0beaa37f-4e5e-4900-bdbf-cd794e6db7bd,cyprinidae,notropis,volucellus,38.6766,-83.1105,,,,,,,,,,,,1,1,?
VTO:0039153,Opsopoeodus emiliae,opsopoeodus,emiliae,0beb255e-a316-4941-b18b-35aeedb82ff4,cyprinidae,opsopoeodus,emiliae,33.0166667,-88.1925,,,,,,,,,,,,1,1,?
VTO:0040540,Phenacobius mirabilis,phenacobius,mirabilis,0bec72ae-ae5a-4e2a-aebc-388272febd14,cyprinidae,phenacobius,mirabilis,30.74667,-93.60806,,,,,,,,,,,,1,1,?
VTO:0007291,Nannophryne cophotis,nannophryne,cophotis,0bed0665-c0cc-4c36-8db0-322067b6ee94,bufonidae,nannophryne,cophotis,-7.0,-78.5666667,?,?,?,?,?,?,?,?,1,?,?,,,
VTO:0034556,Clupeidae,clupeidae,,0bedcd6f-d594-4d94-9bf6-f40f90b914ab,clupeidae,clupea,pallasii,47.75,-122.8333333,,,,,,,,,,,,0 and 1,1,0
VTO:0034561,Clupea pallasii,clupea,pallasii,0bedcd6f-d594-4d94-9bf6-f40f90b914ab,clupeidae,clupea,pallasii,47.75,-122.8333333,,,,,,,,,,,,1,?,?
VTO:0057324,Myctophidae,myctophidae,,0bee08a3-1c4d-47f1-a307-4611ff54be94,myctophidae,tarletonbeania,crenularis,27.1805556,-118.0111111,,,,,,,,,,,,1,?,?
VTO:0057444,Tarletonbeania crenularis,tarletonbeania,crenularis,0bee08a3-1c4d-47f1-a307-4611ff54be94,myctophidae,tarletonbeania,crenularis,27.1805556,-118.0111111,,,,,,,,,,,,1,1,?
VTO:0057324,Myctophidae,myctophidae,,0bee8c83-ca7e-425a-9fdb-2f0d21c26d78,myctophidae,hygophum,hygomii,47.4583333333,-40.8416666667,,,,,,,,,,,,1,?,?
VTO:0009815,Myotis lucifugus,myotis,lucifugus,0bf0add9-89e1-49bd-87d9-f8fe3a84e17e,vespertilionidae,myotis,lucifugus,38.376817,-92.570313,1,1,1,1,1,1,?,?,?,?,?,,,
VTO:0040372,Notropis edwardraneyi,notropis,edwardraneyi,0bf135df-e4c3-4a54-b37e-bffe985a53de,cyprinidae,notropis,edwardraneyi,32.52,-86.27611,,,,,,,,,,,,1,1,?
VTO:0007370,Anaxyrus punctatus,anaxyrus,punctatus,0bf2c09e-f0d9-4660-a4e1-1f3f8ab7b825,bufonidae,anaxyrus,punctatus,33.273925999467686,-111.18365850901745,?,?,?,?,?,?,?,?,1,?,?,,,
VTO:0056377,Lophiidae,lophiidae,,0bf44cfd-fdac-43ce-8a8e-6ffabf3f533a,lophiidae,lophius,americanus,40.549456,-73.488224,,,,,,,,,,,,?,1,?
VTO:0057494,Coccorella atlantica,coccorella,atlantica,0bf585a1-8937-42f6-be90-0ad8a6e45d5b,evermannellidae,coccorella,atlantica,23.5916666667,-34.4083333333,,,,,,,,,,,,1,1,?
VTO:0057492,Evermannellidae,evermannellidae,,0bf585a1-8937-42f6-be90-0ad8a6e45d5b,evermannellidae,coccorella,atlantica,23.5916666667,-34.4083333333,,,,,,,,,,,,1,1,?
VTO:0057324,Myctophidae,myctophidae,,0bf63741-d911-463b-8010-28e96454ef26,myctophidae,myctophum,punctatum,41.225,-12.6083333333,,,,,,,,,,,,1,?,?
VTO:0049110,Labridae,labridae,,0bf7dd08-6f83-4b89-9823-90842a1fd50d,labridae,labrus,merula,43.673802,7.267931000000001,,,,,,,,,,,,0 and 1,1,0
VTO:0034009,Muraenidae,muraenidae,,0bf8cacb-8a31-491c-a6ab-1a0b91b80361,muraenidae,,,21.3333333,-158.3333333,,,,,,,,,,,,0,0,0
VTO:0039108,Pimephales promelas,pimephales,promelas,0bf96fbe-68e9-4adc-bc4e-a2fef2e8a955,cyprinidae,pimephales,promelas,40.4667,-95.5833,,,,,,,,,,,,1,1,?
VTO:0039316,Pteronotropis hypselopterus,pteronotropis,hypselopterus,0bf9c476-1cee-4a79-a48c-430f5821853d,cyprinidae,pteronotropis,hypselopterus,30.6046638889,-86.23999444,,,,,,,,,,,,1,1,?
VTO:0054160,Fundulidae,fundulidae,,0bfb7a93-01a7-4522-9c7e-a5561a59ddb9,fundulidae,lucania,goodei,27.17472,-82.46639,,,,,,,,,,,,?,1,?
VTO:0057324,Myctophidae,myctophidae,,0bfc0ad4-888f-4de0-b8bf-3c34f72d54b8,myctophidae,notolychnus,valdiviae,32.3997222,-118.0,,,,,,,,,,,,1,?,?
