matrix_taxon, vto, ott_id
"Opisthonema oglinum", VTO_0034620, ott681334
"Ophistonema oglinum", VTO_0034620, ott681334
"Breevortia patronus", VTO_0034686, ott107260
"Brevoortia tyrannus", VTO_0034692, ott107265
"Alosa aestivalis", VTO_0034704, ott633305
"Jenkinsia lamprotaenia", VTO_0034723, ott705329
"Etrumeus teres", VTO_0034738, ott681340
"Etrumeus sardina", VTO_0034738, ott681340
"Dorosoma petenense", VTO_0034748, ott681330
"Engraulis anchoita", VTO_0034882, ott648864
"Engraulis encrasicolus", VTO_0034883, ott222963
"Engraulis meletta", VTO_0034883, ott222963
"Engraulis ringens", VTO_0034884, ott211981
"Engraulis mordax", VTO_0034886, ott29754
"Anchoa mitchelli", VTO_0034951, ott681352
"Gonorynchus abbreviatus", VTO_0034963, ott417205
"Gonorynchus greyi", VTO_0034965, ott499205
"Phractolaemus ansorgei", VTO_0034982, ott709381
"Otophysa", VTO_0034989, ott285818
"Centromochlus heckelii", VTO_0035023, ott518277
"Tatia intermedia", VTO_0035028, ott165958
"Auchenipterus demerarae", VTO_0035031, ott165953
"Ageneiosus ucayalensis", VTO_0035047, ott791207
"Auchenipterichthys thoracatus", VTO_0035049, ott165949
"Hemibagrus macropterus", VTO_0035078, ott777650
"Mystus macropterus", VTO_0035078, ott777650
"Hoplerythrinus unitaeniatus", VTO_0038600, ott719840
"Hoplias microlepis", VTO_0038608, ott944930
"Leporellus vittatus", VTO_0038633, ott777620
"Anostomus ternetzi", VTO_0038635, ott518218
"Schizodon knerii", VTO_0038638, ott639995
"Schizodon nasutus", VTO_0038642, ott469757
"Rhynchocypris", VTO_0038693, ott493769
"Nocomis platyrhynchus", VTO_0038699, ott103067
"Nocomis effusus", VTO_0038700, ott342848
"Rasbora spilocerca", VTO_0038864, ott153715
"Rasbora myersi", VTO_0038878, ott454424
"Rasbora rasbora", VTO_0038882, ott153701
"Engraulicypris sardella", VTO_0039050, ott334982
"Macrhybopsis gelida", VTO_0039148, ott361223
"Macrhybopsis meeki", VTO_0039150, ott361216
"Pachychilon pictum", VTO_0039264, ott756855
"Abramis ballerus", VTO_0039358, ott109791
"Gobiobotia puppenheimi", VTO_0039402, ott188065
"Gobiobotia brevibarba", VTO_0039408, ott968081
"Inlecypris auropurpurea", VTO_0039430, ott255883
"Danio browni", VTO_0039446, ott528828
"Acanthorhodeus guichenoti", VTO_0039493, ott636508
"Claroteidae", VTO_0059211, ott3624237
"Schilbeidae", VTO_0061453, ott967339
  , VTO_0061453, ott967339
"Psilorhynchidae", VTO_0063050, ott3628503
"Prochilodontidae", VTO_0064656, ott1027741
"Parodontidae", VTO_0064962, ott533488
  , VTO_0067542, ott5792479
"Ginglymods", VTO_0080344, ott904125
"Capoeta damascina", VTO_0039584, ott948903
"Engraulicypris argenteus", VTO_0039652, ott862027
"Microphysogobio koreensis", VTO_0040009, ott968083
"Thynnichthys thynnoides", VTO_0040104, ott965144
"Ischikauia hainanensis", VTO_0040185, ott778964
"Dionda ipni", VTO_0040237, ott913481
"Tiaroga cobitis", VTO_0040250, ott308524
"Moroco steindachneri", VTO_0040310, ott1088991
"Barilius ubangensis", VTO_0040332, ott323655
"Notropis chiliticus", VTO_0040350, ott802328
